Country Name,City,Country Code,Region,IncomeGroup,"PPP Ratio
(2024)","Std Family
Urban
(Annual)","Std Family
Rural
(Annual)","Typical Fam
Urban
(Annual)","Typical Fam
Rural
(Annual)","Single Indiv
Urban
(Annual)","Single Indiv
Rural
(Annual)","Single Parent
Urban
(Annual)","Single Parent
Rural
(Annual)",Source
United States,"Salt Lake City, UT",USA,North America,High income,1.000,"USD 30,101","USD 16,212","USD 27,245","USD 14,472","USD 24,050","USD 12,790","USD 48,407","USD 24,486",Numbeo City
United States,"Albuquerque, NM",USA,North America,High income,1.000,"USD 25,180","USD 14,829","USD 22,610","USD 13,157","USD 19,521","USD 10,307","USD 40,376","USD 22,552",Numbeo City
Germany,Frankfurt,DEU,Europe & Central Asia,High income,0.759,"USD 33,232","USD 17,764","USD 29,322","USD 15,312","USD 25,999","USD 13,547","USD 53,362","USD 26,719",Numbeo City
Spain,Barcelona,ESP,Europe & Central Asia,High income,0.608,"USD 24,325","USD 12,645","USD 23,007","USD 11,553","USD 22,434","USD 10,371","USD 39,852","USD 19,508",Numbeo City
Canada,Edmonton,CAN,North America,High income,0.840,"USD 24,853","USD 14,612","USD 22,000","USD 12,622","USD 20,094","USD 10,725","USD 38,914","USD 21,554",Numbeo City
United States,"Cleveland, OH",USA,North America,High income,1.000,"USD 32,488","USD 15,633","USD 29,445","USD 13,896","USD 25,286","USD 11,395","USD 52,275","USD 23,100",Numbeo City
Canada,Calgary,CAN,North America,High income,0.840,"USD 26,527","USD 15,743","USD 23,535","USD 13,647","USD 23,279","USD 12,015","USD 41,482","USD 23,237",Numbeo City
Canada,Halifax,CAN,North America,High income,0.840,"USD 29,154","USD 16,870","USD 25,975","USD 14,659","USD 25,177","USD 13,008","USD 46,134","USD 25,166",Numbeo City
Canada,Ottawa,CAN,North America,High income,0.840,"USD 28,381","USD 16,539","USD 25,310","USD 14,407","USD 24,898","USD 12,983","USD 44,634","USD 24,538",Numbeo City
Canada,Toronto,CAN,North America,High income,0.840,"USD 30,854","USD 17,634","USD 27,726","USD 15,492","USD 27,105","USD 14,286","USD 49,046","USD 26,503",Numbeo City
Canada,Montreal,CAN,North America,High income,0.840,"USD 26,627","USD 15,121","USD 23,662","USD 13,076","USD 22,050","USD 10,970","USD 41,914","USD 22,312",Numbeo City
United States,"Charlotte, NC",USA,North America,High income,1.000,"USD 36,528","USD 17,983","USD 33,191","USD 16,064","USD 27,260","USD 13,240","USD 59,297","USD 27,108",Numbeo City
United States,"Detroit, MI",USA,North America,High income,1.000,"USD 31,060","USD 15,918","USD 28,078","USD 14,140","USD 23,517","USD 10,873","USD 49,180","USD 23,215",Numbeo City
United States,"Madison, WI",USA,North America,High income,1.000,"USD 32,370","USD 17,970","USD 29,286","USD 16,047","USD 26,128","USD 13,689","USD 52,049","USD 27,245",Numbeo City
United States,"San Antonio, TX",USA,North America,High income,1.000,"USD 29,273","USD 15,536","USD 26,452","USD 13,824","USD 23,231","USD 10,796","USD 47,362","USD 23,563",Numbeo City
Australia,Adelaide,AUS,East Asia & Pacific,High income,0.896,"USD 22,041","USD 12,495","USD 19,639","USD 10,946","USD 21,238","USD 10,643","USD 34,932","USD 18,631",Numbeo City
Australia,Brisbane,AUS,East Asia & Pacific,High income,0.896,"USD 25,337","USD 12,845","USD 22,736","USD 11,282","USD 21,422","USD 9,723","USD 41,536","USD 19,738",Numbeo City
